Brand,Family,Model,shape,ShankDiameter,CuttingEdgeHeight,LengthTotal,LengthType,Flutes,FluteShape,TipShape,material,Cuts Material,Notes,Order#,Date,Order-Line#,Desc,,Qty,Cost/ea,,qty on hand,LOCATION,stk_note
br8,E600,,slotdrill,,12,38,,2,spiral,fishtail,CBD,Steel,Carbide VHM,378,,3,3x3x12 2F,,3,13.4266666666667,A0010094 br8 E6000300 3mm x 3mm 2 Flute Slot Drill - Carbide VHM - Regular,3,2-1,
br8,E600,,slotdrill,,14,50,,2,spiral,fishtail,CBD,Steel,Carbide VHM,378,,4,4x4x14 2F,,1,16.872,A0010096 br8 E6000400 4mm x 4mm 2 Flute Slot Drill - Carbide VHM - Regular,1,2-1,
br8,E600,,slotdrill,,19,50,,2,spiral,fishtail,CBD,Steel,Carbide VHM,378,,5,6x6x19 2F,,1,23.417,A0010099 br8 E6000600 6mm x 6mm 2 Flute Slot Drill - Carbide VHM - Regular,1,2-1,
br8,E444,,endmill,,11,54,Short,1,Helix 30,,CBD,nonferrous aluminum alloy_ brass & bronze_ trimming plastics and similar materials,Carbide VHM,401 (was duplicate 399),,1,4x6 short 1F,,4,22.39,br8 E4440400 4mm x 6mm 1 Flute Endmill - Carbide VHM Ultra – Short,4,2-2,#400-1 marked as!!
br8,E444,,endmill,,13,54,Short,1,Helix 30,,CBD,nonferrous aluminum alloy_ brass & bronze_ trimming plastics and similar materials,Carbide VHM,401 (was duplicate 399),,2,6x6 short 1F,,2,23.51,br8 E4440600 6mm x 6mm 1 Flute Endmill - Carbide VHM Ultra – Short,2,2-3,#399 marked as!!
br8,E444,,endmill,,11,54,Short,1,Helix 30,,CBD,nonferrous aluminum alloy_ brass & bronze_ trimming plastics and similar materials,Carbide VHM,401 (was duplicate 399),,3,8x8 short 1F,,1,32.7,br8 E4440800 8mm x 8mm 1 Flute Endmill - Carbide VHM Ultra – Short,1,2-3,
M&G,,,ballend,6,13,57,,4,,,CBD,,Carbide,,,,,,1,,,1,1-6,
ebay??,,,ballend,16,35,~90,,2,,,,,,,,,,,,,,,,
banggood,,,chamfer,6,,,,3,,90 deg,,,,232,,7,6pcs 3 Flute Titanium Chamfer 90 Degree Chamfering End Mill Cutter Countersink Drill Bit,,6,2.05,,,,
record power,,,Conical engrave point,6.35,,,,1,, ,CBD,,NOT a cutter_ ju8st cone shape,?machinery house?,,,,,2,,,,,
P&N(br8),,,Burr Cylindrical (Square),6.35,,,,1,,,CBD,,,,,,,,1,17.8,P&N(br8),,,
P&N(br8),,,Burr Cylindrical (Radius),6.35,,,,1,,,CBD,,,,,,,,1,17.8,P&N(br8),,,
P&N(br8),,,Burr Tree (Pointed),6.35,,,,1,,,CBD,,,,,,,,1,17.8,P&N(br8),,,
P&N(br8),,,Burr Flame,6.35,,,,1,,,CBD,,,,,,,,1,17.8,P&N(br8),,,
P&N(br8),,,Burr Ball,6.35,,,,1,,,CBD,,,,,,,,1,17.8,P&N(br8),,,
UPDATE SWT??,,,endmill,6,7,52,Short,2,,,HSS-AL,,,16-10689-17240,2023-10-23,,5pcs 6mm Shank 2mm x 7mm Straight End Mill Cutter CNC Router Bits 2 Flute,,5,5.144,UPDATE,,4-4,
UPDATE,,,??ballend??,3.175,,,Short,2,,,,,,16-10689-17241,2023-10-23,1,1/1.5/2.0/2.5/3.175mm Ball Nose End Mill CNC v-bit Router Bit 10PCS AU,,3x2,1.078,UPDATE,,,
UPDATE,,,??ballend??,3.175,,,Short,2,,,,,,16-10689-17241,2023-10-23,2,1/1.5/2.0/2.5/3.175mm Ball Nose End Mill CNC v-bit Router Bit 10PCS AU,,3x2,1.078,UPDATE,,,
UPDATE,,,??ballend??,3.175,,,Short,2,,,,,,16-10689-17241,2023-10-23,3,1/1.5/2.0/2.5/3.175mm Ball Nose End Mill CNC v-bit Router Bit 10PCS AU,,3x2,1.078,UPDATE,,,
UPDATE,,,??ballend??,3.175,,,Short,2,,,,,,16-10689-17241,2023-10-23,4,1/1.5/2.0/2.5/3.175mm Ball Nose End Mill CNC v-bit Router Bit 10PCS AU,,3x2,1.078,UPDATE,,,
UPDATE,,,??ballend??,3.175,,,Short,2,,,,,,16-10689-17241,2023-10-23,5,1/1.5/2.0/2.5/3.175mm Ball Nose End Mill CNC v-bit Router Bit 10PCS AU,,3x2,1.078,UPDATE,,,
UPDATE,,,v engrave,3.175,8,30,,3,,,,**3xflat faces & sharpcorners,,16-10689-17242,2023-10-23,,10X 20 deg 0.1mm Diam. 3.175mm Shank V-shape v-bit V-bit End Mill CNC Router,,,2.055,UPDATE,,,Shenpeng Brother Electronic Commerce Ltd_ C505_ Niulanqian Building_ Minshi Street_ Longhua New District_ Shenzhen
UPDATE,,,endmill,3.175,20,37,,2,,,,,,16-10689-17243,2023-10-23,,"10PCS 3mm 1/8"" 3.175mm shank Spiral HSS End Mill CNC Router Bits Flat Head Drill",,,2.048,UPDATE,,4-4,Shenpeng Brother Electronic Commerce Ltd_ C505_ Niulanqian Building_ Minshi Street_ Longhua New District_ Shenzhen
UPDATE,,,??ballend??,3.175,,,Short,2,,,,,,16-10689-17238,2023-10-23,1,10X 1/1.5/2.0/2.5/3.175mm Carbide Ball Nose End Mill CNC v-bit Router Bit AU,,,1.169,UPDATE,,,
UPDATE,,,??ballend??,3.175,,,Short,2,,,,,,16-10689-17238,2023-10-23,2,10X 1/1.5/2.0/2.5/3.175mm Carbide Ball Nose End Mill CNC v-bit Router Bit AU,,,1.169,UPDATE,,,
UPDATE,,,??ballend??,3.175,,,Short,2,,,,,,16-10689-17238,2023-10-23,3,10X 1/1.5/2.0/2.5/3.175mm Carbide Ball Nose End Mill CNC v-bit Router Bit AU,,,1.169,UPDATE,,,
UPDATE,,,??ballend??,3.175,,,Short,2,,,,,,16-10689-17238,2023-10-23,4,10X 1/1.5/2.0/2.5/3.175mm Carbide Ball Nose End Mill CNC v-bit Router Bit AU,,,1.169,UPDATE,,,
UPDATE,,,??ballend??,3.175,,,Short,2,,,,,,16-10689-17238,2023-10-23,5,10X 1/1.5/2.0/2.5/3.175mm Carbide Ball Nose End Mill CNC v-bit Router Bit AU,,,1.169,UPDATE,,,
